Customer,Age,Item,Quantity
50,35,x,2
49,30,x,7
48,29,x,7
47,28,x,5
46,27,x,5
45,26,x,5
44,25,x,3
43,24,x,7
42,23,x,7
41,22,x,1
40,21,x,5
39,20,x,6
38,19,x,5
37,18,x,4
36,35,x,6
35,34,x,6
34,33,x,3
33,32,x,6
32,31,x,6
31,30,x,5
30,29,x,4
29,28,x,6
28,27,x,5
27,26,x,5
26,25,x,5
25,24,x,5
24,23,x,5
23,22,x,7
22,21,x,2
21,20,x,7
20,19,x,3
19,18,x,5
18,35,x,5
17,34,x,6
16,33,x,6
15,32,x,3
14,31,x,6
13,30,x,4
12,29,x,7
11,28,x,4
10,27,x,5
9,26,x,6
8,25,x,6
7,24,x,1
6,23,x,5
5,22,x,5
4,21,x,6
3,20,x,4
2,19,x,2
1,18,x,10
50,35,y,6
49,30,y,5
48,29,y,5
47,28,y,2
46,27,y,6
45,26,y,5
44,25,y,4
43,24,y,6
42,23,y,5
41,22,y,5
40,21,y,7
39,20,y,1
38,19,y,5
37,18,y,6
36,35,y,1
35,34,y,5
34,33,y,6
33,32,y,6
32,31,y,3
31,30,y,6
30,29,y,7
29,28,y,7
28,27,y,2
27,26,y,7
26,25,y,3
25,24,y,8
24,23,y,1
23,22,y,5
22,21,y,5
21,20,y,7
20,19,y,3
19,18,y,5
18,35,y,7
17,34,y,1
16,33,y,7
15,32,y,7
14,31,y,4
13,30,y,2
12,29,y,4
11,28,y,4
10,27,y,7
9,26,y,4
8,25,y,4
7,24,y,7
6,23,y,4
5,22,y,4
4,21,y,2
3,20,y,5
2,19,y,6
1,18,y,3
50,35,z,7
49,30,z,3
48,29,z,2
47,28,z,4
46,27,z,2
45,26,z,5
44,25,z,5
43,24,z,3
42,23,z,4
41,22,z,5
40,21,z,1
39,20,z,5
38,19,z,5
37,18,z,2
36,35,z,8
35,34,z,3
34,33,z,6
33,32,z,3
32,31,z,3
31,30,z,4
30,29,z,4
29,28,z,2
28,27,z,4
27,26,z,2
26,25,z,6
25,24,z,1
24,23,z,5
23,22,z,5
22,21,z,5
21,20,z,1
20,19,z,6
19,18,z,5
18,35,z,1
17,34,z,7
16,33,z,2
15,32,z,3
14,31,z,4
13,30,z,7
12,29,z,4
11,28,z,4
10,27,z,2
9,26,z,3
8,25,z,3
7,24,z,6
6,23,z,4
5,22,z,2
4,21,z,5
3,20,z,2
2,19,z,4
1,18,z,2
